RT,Choice,Accuracy,Target,PrimeType,PrimeDuration,FoilContrast,TargetContrast,PP,Angle
3.123564e-01,1,1,1,0,400,5.000000e-02,6.875000e-02,76,35
3.157227e-01,0,1,0,0,50,2.000000e-01,2.500000e-01,76,40
3.023546e-01,1,0,0,0,400,5.000000e-02,5.000000e-02,76,50
2.835198e-01,1,1,1,0,400,2.000000e-01,2.250000e-01,76,45
2.457650e-01,1,1,1,0,50,2.000000e-01,3.000000e-01,76,55
1.486629e-01,1,1,1,0,400,2.000000e-01,2.500000e-01,76,50
2.950824e-01,1,1,1,0,400,5.000000e-02,6.875000e-02,76,55
3.813942e-01,1,0,0,0,50,5.000000e-02,6.875000e-02,76,40
3.059193e-01,1,1,1,0,400,5.000000e-02,1.000000e-01,76,55
1.902714e-01,0,1,0,0,400,5.000000e-02,7.500000e-02,76,45
4.300064e-01,0,1,0,0,400,2.000000e-01,2.500000e-01,76,35
3.466482e-01,0,0,1,0,50,2.000000e-01,2.000000e-01,76,35
3.174263e-01,1,1,1,0,400,5.000000e-02,5.625000e-02,76,35
3.094861e-01,0,1,0,0,50,2.000000e-01,2.750000e-01,76,50
4.000268e-01,1,1,1,0,50,5.000000e-02,6.250000e-02,76,45
2.914946e-01,0,1,0,0,50,2.000000e-01,2.750000e-01,76,50
4.494570e-01,0,1,0,0,400,2.000000e-01,2.750000e-01,76,45
3.056781e-01,1,1,1,0,50,2.000000e-01,2.750000e-01,76,45
2.910156e-01,1,1,1,0,50,5.000000e-02,6.875000e-02,76,40
3.811996e-01,1,1,1,0,400,2.000000e-01,4.000000e-01,76,45
2.730934e-01,1,1,1,0,400,2.000000e-01,2.500000e-01,76,50
2.295588e-01,1,1,1,0,400,5.000000e-02,1.000000e-01,76,50
3.208589e-01,1,0,0,0,50,2.000000e-01,2.000000e-01,76,50
2.008505e-01,1,1,1,0,50,5.000000e-02,5.625000e-02,76,40
2.699597e-01,0,1,0,0,50,2.000000e-01,4.000000e-01,76,50
2.472591e-01,0,1,0,0,50,2.000000e-01,3.000000e-01,76,35
3.741985e-01,0,0,1,0,400,5.000000e-02,5.000000e-02,76,55
2.032199e-01,0,1,0,0,50,2.000000e-01,3.000000e-01,76,40
2.103549e-01,1,1,1,0,400,2.000000e-01,2.750000e-01,76,50
2.278547e-01,0,0,1,0,400,2.000000e-01,2.000000e-01,76,55
3.397621e-01,0,1,0,0,400,5.000000e-02,7.500000e-02,76,40
2.568273e-01,1,1,1,0,400,2.000000e-01,2.500000e-01,76,55
4.741803e-01,1,1,1,0,50,2.000000e-01,3.000000e-01,76,50
3.956941e-01,1,1,1,0,400,5.000000e-02,6.250000e-02,76,50
2.147330e-01,0,1,0,0,50,2.000000e-01,2.500000e-01,76,45
2.992334e-01,1,1,1,0,400,2.000000e-01,4.000000e-01,76,45
2.753658e-01,1,1,1,0,400,5.000000e-02,1.000000e-01,76,40
3.499025e-01,0,1,0,0,400,2.000000e-01,4.000000e-01,76,45
1.466051e-01,0,1,0,0,50,2.000000e-01,2.250000e-01,76,45
2.116254e-01,0,1,0,0,50,5.000000e-02,7.500000e-02,76,50
3.670961e-01,1,1,1,0,400,5.000000e-02,5.000000e-02,76,55
2.552664e-01,1,1,1,0,400,2.000000e-01,2.000000e-01,76,40
4.221026e-01,0,1,0,0,50,5.000000e-02,6.875000e-02,76,50
2.067432e-01,0,1,0,0,50,5.000000e-02,1.000000e-01,76,45
2.692481e-01,0,1,0,0,400,2.000000e-01,2.250000e-01,76,40
3.372139e-01,1,1,1,0,400,5.000000e-02,6.875000e-02,76,40
2.660089e-01,0,1,0,0,400,2.000000e-01,3.000000e-01,76,55
2.567969e-01,0,1,0,0,50,5.000000e-02,7.500000e-02,76,50
2.351261e-01,1,1,1,0,400,5.000000e-02,6.875000e-02,76,45
2.274254e-01,0,1,0,0,400,2.000000e-01,4.000000e-01,76,50
1.827978e-01,1,1,1,0,50,2.000000e-01,3.000000e-01,76,35
2.719251e-01,1,1,1,0,400,2.000000e-01,2.000000e-01,76,35
2.839961e-01,1,1,1,0,400,2.000000e-01,2.750000e-01,76,55
5.727385e-01,1,1,1,0,50,2.000000e-01,2.750000e-01,76,55
2.273659e-01,1,1,1,0,400,2.000000e-01,2.750000e-01,76,40
2.713580e-01,0,1,0,0,400,2.000000e-01,3.000000e-01,76,55
4.522024e-01,1,1,1,0,50,5.000000e-02,5.000000e-02,76,40
3.711016e-01,0,1,0,0,50,5.000000e-02,6.875000e-02,76,55
4.274244e-01,0,0,1,0,50,5.000000e-02,5.625000e-02,76,45
5.871859e-01,0,0,1,0,50,5.000000e-02,5.625000e-02,76,45
5.826945e-01,0,0,1,0,50,2.000000e-01,2.500000e-01,76,50
3.712535e-01,1,1,1,0,400,5.000000e-02,6.250000e-02,76,40
2.542671e-01,1,1,1,0,50,5.000000e-02,1.000000e-01,76,50
1.976176e-01,1,1,1,0,50,5.000000e-02,6.250000e-02,76,45
2.263837e-01,1,1,1,0,400,5.000000e-02,1.000000e-01,76,40
4.051113e-01,0,1,0,0,400,5.000000e-02,5.000000e-02,76,50
2.207249e-01,1,1,1,0,400,2.000000e-01,2.750000e-01,76,35
4.159751e-01,1,0,0,0,50,5.000000e-02,7.500000e-02,76,45
3.322154e-01,1,1,1,0,50,5.000000e-02,6.875000e-02,76,35
3.948007e-01,1,0,0,0,50,5.000000e-02,5.000000e-02,76,55
3.613184e-01,1,1,1,0,50,2.000000e-01,4.000000e-01,76,50
4.762342e-01,1,1,1,0,400,5.000000e-02,5.625000e-02,76,40
